Execution Order | Job | Operation | Time (s)
           138 |  13 |         7 | 0.00000000 seconds
           139 |   6 |         4 | 0.00000000 seconds
           140 |  23 |         4 | 0.00000000 seconds
           141 |   4 |         5 | 0.00000000 seconds
           142 |   7 |         6 | 0.00000000 seconds
           143 |  14 |         4 | 0.00000000 seconds
           144 |  16 |         5 | 0.00000000 seconds
           145 |  18 |         5 | 0.00000000 seconds
           146 |  12 |         4 | 0.00000000 seconds
           147 |   2 |         3 | 0.00000000 seconds
           148 |   5 |         7 | 0.00000000 seconds
           149 |  24 |         5 | 0.00000000 seconds
           150 |  13 |         8 | 0.00000000 seconds
           151 |  14 |         5 | 0.00000000 seconds
           152 |  15 |         6 | 0.00000000 seconds
           153 |  21 |         3 | 0.00000000 seconds
           154 |  17 |         5 | 0.00000000 seconds
           155 |  22 |         7 | 0.00000000 seconds
           156 |   1 |         6 | 0.00000000 seconds
           157 |  11 |         6 | 0.00000000 seconds
           158 |  14 |         6 | 0.00000000 seconds
           159 |  15 |         7 | 0.00000000 seconds
           160 |  22 |         8 | 0.00000000 seconds
           161 |  23 |         5 | 0.00000000 seconds
           162 |   3 |         6 | 0.00000000 seconds
           163 |   8 |         4 | 0.00000000 seconds
           164 |  12 |         5 | 0.00000000 seconds
           165 |   0 |         5 | 0.00000000 seconds
           166 |  19 |         9 | 0.00000000 seconds
           167 |  21 |         4 | 0.00000000 seconds
           168 |   7 |         7 | 0.00000000 seconds
           169 |  18 |         6 | 0.00000000 seconds
           170 |  24 |         6 | 0.00000000 seconds
           171 |   6 |         5 | 0.00000000 seconds
           172 |  10 |         7 | 0.00000000 seconds
           173 |  16 |         6 | 0.00000000 seconds
           174 |   0 |         6 | 0.00000000 seconds
           175 |   9 |         8 | 0.00000000 seconds
           176 |   9 |         9 | 0.00000000 seconds
           177 |  11 |         7 | 0.00000000 seconds
           178 |  13 |         9 | 0.00000000 seconds
           179 |  15 |         8 | 0.00000000 seconds
           180 |  17 |         6 | 0.00000000 seconds
           181 |  20 |         6 | 0.00000000 seconds
           182 |   2 |         4 | 0.00000000 seconds
           183 |  20 |         7 | 0.00000000 seconds
           184 |   4 |         6 | 0.00000000 seconds
           185 |   8 |         5 | 0.00000000 seconds
           186 |   1 |         7 | 0.00000000 seconds
           187 |   4 |         7 | 0.00000000 seconds
           188 |   8 |         6 | 0.00000000 seconds
           189 |  12 |         6 | 0.00000000 seconds
           190 |  18 |         7 | 0.00000000 seconds
           191 |  19 |        10 | 0.00000000 seconds
           192 |  22 |         9 | 0.00000000 seconds
           193 |   2 |         5 | 0.00000000 seconds
           194 |  10 |         8 | 0.00000000 seconds
           195 |  14 |         7 | 0.00000000 seconds
           196 |  15 |         9 | 0.00000000 seconds
           197 |   2 |         6 | 0.00000000 seconds
           198 |   3 |         7 | 0.00000000 seconds
           199 |   7 |         8 | 0.00000000 seconds
           200 |  13 |        10 | 0.00000000 seconds
           201 |  15 |        10 | 0.00000000 seconds
